Event,RunTime,ADC,SiPM,DownTime,Temp
1,6451,399,87.3,1483,26.05
2,13640,355,68.3,2777,26.05
3,14714,480,130.21,2964,26.05
4,21895,608,202.86,4266,26.05
5,25540,433,104.37,5015,26.05
6,30386,408,90.57,5945,26.05
7,34576,313,56.02,6687,26.05
8,37881,460,119.54,7240,26.05
9,38906,440,109.25,7430,26.05
10,40611,323,58.48,7804,26.05
11,52351,412,92.93,10023,26.05
12,58334,352,66.89,11141,26.05
13,66893,344,64.67,12617,26.05
14,67715,69,18.79,12805,26.05
15,71728,743,466.23,13541,26.05
16,74392,444,109.09,14107,26.05
17,82278,455,117.03,15592,26.05
18,91600,403,88.99,17264,26.05
19,106323,312,55.68,20033,26.27
20,106365,364,71.71,20038,26.05
21,107698,476,129.76,20228,26.05
22,124293,384,80.08,23392,26.05
23,125461,127,24.18,23581,26.27
24,129456,359,69.86,24318,26.16
25,140968,494,141.37,26354,26.05
26,141677,304,53.73,26545,26.16
27,142282,371,73.82,26734,26.05
28,157564,455,117.03,29500,26.16
29,174329,384,80.08,32652,26.16
30,175641,376,76.43,32843,26.05
31,180550,568,189.84,33770,26.05
32,188461,337,62.3,35271,26.16
33,189703,487,132.65,35459,26.05
34,190532,492,134.92,35650,26.16
35,211684,71,19.06,39565,26.48
36,213733,391,82.35,39936,26.16
37,230616,430,101.41,43084,26.16
38,234681,312,55.68,43829,26.27
39,237277,659,253.36,44387,26.05
40,272336,483,132.6,50944,26.38
41,273731,364,71.71,51137,26.7
42,303916,384,80.08,56669,26.27
43,322823,444,109.09,60184,26.05
44,335891,455,117.03,62596,26.05
45,339301,540,166.11,63341,26.48
46,344431,335,61.77,64284,26.7
47,348678,337,62.3,65026,26.27
48,351324,368,72.93,65584,26.7
49,356472,460,119.54,66512,26.7
50,365886,494,141.37,68188,26.48
51,376585,385,80.11,70243,26.48
52,377338,472,125.87,70431,26.27
53,395882,127,24.18,73786,26.7
54,409820,335,61.77,76356,26.48
55,410504,300,52.79,76545,26.7
56,421861,344,64.67,78579,26.7
57,431853,595,212.63,80428,26.38
58,437663,487,132.65,81556,26.59
59,438815,432,101.61,81747,26.7
60,445758,352,66.89,83048,26.48
61,465393,481,129.57,86736,26.48
62,472981,492,134.92,88044,26.59
63,482448,295,51.75,89912,26.7
64,482719,398,85.63,89918,26.7
65,487746,384,80.08,90850,26.7
66,489507,76,19.69,91227,26.7
67,503411,56,16.76,93796,26.7
68,504724,482,129.6,93984,26.48
69,504750,494,141.37,93989,26.59
70,512899,384,80.08,95487,26.7
71,515526,415,95,96047,26.7
72,536445,632,232.56,99943,26.48
73,539739,560,175.34,100510,26.48
74,539849,359,69.86,100515,26.7
75,551451,419,97.2,102733,26.7
76,556565,655,252.34,103663,26.48
77,564928,355,68.3,105166,26.7
78,568748,463,119.23,105907,26.7
79,574640,462,120.87,107024,26.59
80,577631,433,104.37,107587,26.7
81,590596,348,65.64,110000,26.7
82,594825,377,76.28,110743,26.7
83,601641,432,101.61,112036,26.7
84,602613,103,22.23,112227,26.7
85,609747,403,88.99,113516,26.7
86,611970,376,76.43,113889,26.7
87,619924,371,73.82,115368,26.7
88,628565,536,160.18,117031,26.48
89,643422,332,61.17,119844,26.7
90,643470,366,72.41,119849,26.7
91,653974,354,67.99,121696,26.7
92,656557,441,109.77,122253,26.7
93,658460,348,65.64,122630,26.7
94,664353,494,141.37,123740,26.7
95,680893,280,48.67,126725,26.7
96,683836,403,88.99,127281,26.7
97,683911,444,109.09,127286,26.7
98,690672,558,172.78,128588,26.48
99,690703,368,72.93,128593,26.7
100,693394,448,112.41,129151,26.7
101,712531,57,16.93,132677,26.7
102,714587,524,150.73,133049,26.7
103,720472,396,85.28,134174,26.7
104,721664,451,113.08,134364,26.7
105,725700,403,88.99,135111,26.7
106,737540,391,82.35,137339,26.7
107,752503,391,82.35,140124,26.7
108,774873,345,64.98,144201,26.7
109,784460,354,67.99,146051,26.7
110,791913,236,40.44,147349,26.7
111,801530,376,76.43,149191,26.7
112,806801,583,201.26,150118,26.7
113,819910,352,66.89,152557,26.7
114,820906,472,125.87,152746,26.7
115,830857,481,129.57,154614,26.7
116,839946,380,78.12,156295,26.7
117,853408,393,83.55,158885,26.7
118,856198,391,82.35,159445,26.7
119,864741,366,72.41,160932,26.7
120,872607,338,62.67,162409,26.7
121,877977,408,90.57,163337,26.7
122,894734,306,54.23,166493,26.7
123,896572,124,23.92,166866,26.7
124,903600,71,19.06,168155,26.7
125,909845,428,101.58,169260,26.7
126,915460,313,56.02,170377,26.7
127,917933,460,119.54,170750,26.7
128,927727,339,62.98,172612,26.7
129,929968,255,43.96,172985,26.7
130,932838,435,104.92,173542,26.7
131,949816,323,58.48,176695,26.7
132,960787,291,50.97,178726,26.7
133,961468,423,97.36,178915,26.7
134,962621,428,101.58,179106,26.7
135,983821,370,73.62,183000,26.7
136,984533,398,85.63,183189,26.7
137,993891,312,55.68,184861,26.7
138,993903,332,61.17,184866,26.7
139,998850,380,78.12,185793,26.7
140,1005779,352,66.89,187087,26.7
141,1007213,359,69.86,187461,26.7
142,1043633,368,72.93,194100,26.7
143,1044913,440,109.25,194289,26.7
144,1061453,465,122.12,197446,26.7
145,1096873,422,97.97,203971,26.7
146,1098729,313,56.02,204346,26.7
147,1105733,359,69.86,205640,26.7
148,1106553,348,65.64,205829,26.7
149,1109681,513,148.53,206386,26.7
150,1111998,359,69.86,206764,26.91
151,1124813,403,88.99,209168,26.91
152,1132860,396,85.28,210654,26.7
153,1138817,473,126.29,211769,26.91
154,1157862,415,95,215316,26.7
155,1163463,376,76.43,216435,26.91
156,1183709,224,38.29,220122,27.34
157,1203658,51,15.86,223789,27.34
158,1207727,316,56.81,224527,26.91
159,1208511,527,155.96,224717,26.91
160,1224780,263,45.37,227718,27.13
161,1225856,364,71.71,227907,27.34
162,1231269,323,58.48,229017,27.34
163,1235222,399,87.3,229760,26.91
164,1249663,312,55.68,232357,27.13
165,1256904,401,87.91,233652,27.13
166,1259624,496,144.49,234212,27.13
167,1259765,387,81.05,234217,27.13
168,1267508,412,92.93,235704,26.7
169,1280935,358,69.1,238119,27.13
170,1280990,350,66.46,238124,27.34
171,1283977,408,90.57,238681,26.91
172,1302557,385,80.11,242209,26.7
173,1304727,384,80.08,242587,26.91
174,1311887,352,66.89,243890,27.34
175,1313238,327,59.28,244263,27.34
176,1319811,352,66.89,245375,27.34
177,1337518,376,76.43,248699,27.13
178,1364795,448,112.41,253680,27.13
179,1383568,391,82.35,257224,27.13
180,1392647,312,55.68,258899,27.34
181,1444988,455,117.03,268487,27.13
182,1446215,396,85.28,268863,26.91
183,1465848,327,59.28,272389,27.34
184,1470218,466,122,273316,27.13
185,1481820,380,78.12,275369,27.34
186,1503293,312,55.68,279429,27.34
187,1516981,409,91.12,281832,26.91
188,1517828,345,64.98,282022,27.34
189,1525996,396,85.28,283500,27.34
190,1531593,415,95,284616,27.13
191,1536778,126,24.09,285547,27.34
192,1543663,816,636.95,286835,26.91
193,1544824,319,57.64,287027,27.34
194,1548692,325,59.05,287769,27.34
195,1549663,396,85.28,287959,27.34
196,1551992,334,61.44,288334,27.34
197,1566270,521,150.31,291105,27.13
198,1567695,316,56.81,291299,27.34
199,1579327,368,72.93,293515,27.34
200,1585946,386,80.48,294624,27.34
201,1589992,312,55.68,295369,27.34
202,1596219,56,16.76,296665,27.34
203,1608818,542,168.67,298869,27.13
204,1626285,115,23.18,302243,27.34
205,1630659,329,59.91,302981,27.34
206,1659819,568,189.84,308332,27.13
207,1667318,481,129.57,309835,27.34
208,1687194,295,51.75,313565,27.34
209,1688973,423,97.36,313754,27.34
210,1690303,67,18.51,314129,27.34
211,1702753,112,22.94,316338,27.34
212,1712604,339,62.98,318175,27.34
213,1712691,408,90.57,318180,27.34
214,1712918,444,109.09,318185,27.34
215,1722797,462,120.87,320041,27.34
216,1746687,448,112.41,324516,27.34
217,1749292,391,82.35,325080,27.34
218,1754930,492,134.92,326010,27.34
219,1774777,352,66.89,329739,27.34
220,1780783,352,66.89,330848,27.34
221,1806725,371,73.82,335646,27.34
222,1812871,368,72.93,336760,27.34
223,1813698,348,65.64,336950,27.34
224,1825704,768,471.89,339168,27.13
225,1845649,63,17.91,342916,27.34
226,1850368,387,81.05,343838,27.34
227,1856893,396,85.28,344954,27.34
228,1863297,412,92.93,346255,27.34
229,1865598,339,62.98,346632,27.34
230,1871716,440,109.25,347742,27.34
231,1892207,504,143.61,351636,27.34
232,1897841,391,82.35,352573,27.34
233,1899288,335,61.77,352949,27.34
234,1932702,412,92.93,359033,27.34
235,1943896,327,59.28,361076,27.34
236,1945980,391,82.35,361449,27.34
237,1952617,423,97.36,362749,27.34
238,1958794,415,95,363869,27.34
239,1980387,344,64.67,367954,27.34
240,1989695,494,141.37,369617,27.34
241,1990850,312,55.68,369810,27.34
242,2002995,409,91.12,372025,27.34
243,2005894,659,253.36,372584,27.34
244,2006853,463,119.23,372776,27.34
245,2010795,414,93.93,373526,27.34
246,2031765,300,52.79,377426,27.34
247,2064840,355,68.3,383512,27.34
248,2067868,547,162.22,384071,27.34
249,2068857,323,58.48,384263,27.34
250,2074732,369,73.42,385373,27.34
251,2074740,403,88.99,385378,27.34
252,2076267,454,115.28,385753,27.34
253,2076707,387,81.05,385758,27.34
254,2078857,569,185.56,386133,27.34
255,2083706,376,76.43,387075,27.34
256,2084425,540,166.11,387265,27.34
257,2091634,366,72.41,388583,27.34
258,2112413,536,160.18,392477,27.34
259,2125801,444,109.09,394917,27.34
260,2130312,396,85.28,395850,27.34
261,2164327,408,90.57,402153,27.34
262,2168789,380,78.12,402900,27.34
263,2171755,83,20.46,403462,27.34
264,2174656,230,39.39,404017,27.34
265,2179671,504,143.61,404939,27.34
266,2186746,448,112.41,406253,27.34
267,2196886,384,80.08,408118,27.34
268,2208416,463,119.23,410346,27.34
269,2213659,441,109.77,411285,27.34
270,2213682,483,132.6,411290,27.34
271,2217411,434,104.89,412040,27.34
272,2218718,152,26.78,412230,27.34
273,2262960,327,59.28,420297,27.34
274,2284215,275,47.73,424353,27.34
275,2286740,387,81.05,424727,27.34
276,2290378,384,80.08,425472,27.34
277,2305781,355,68.3,428257,27.34
278,2319357,472,125.87,430842,27.34
279,2338974,384,80.08,434390,27.34
280,2370422,370,73.62,440326,27.34
281,2370923,359,69.86,440332,27.34
282,2382768,376,76.43,442547,27.34
283,2387969,384,80.08,443482,27.34
284,2408848,508,144.95,447381,27.34
285,2410486,561,174.17,447761,27.34
286,2422841,368,72.93,450013,27.34
287,2441248,120,23.58,453542,27.34
288,2448342,455,117.03,454831,27.34
289,2457793,327,59.28,456512,27.34
290,2467834,444,109.09,458359,27.34
291,2478388,671,277.06,460399,27.34
292,2493938,384,80.08,463213,27.34
293,2496944,412,92.93,463774,27.34
294,2507495,441,109.77,465818,27.34
295,2515510,103,22.23,467308,27.34
296,2518747,179,30.55,467863,27.34
297,2525507,345,64.98,469151,27.34
298,2525821,195,33.17,469156,27.34
299,2533871,384,80.08,470633,27.34
300,2541793,369,73.42,472121,27.34
301,2553362,370,73.62,474350,27.34
302,2589303,384,80.08,481018,27.34
303,2591226,353,67.64,481393,27.34
304,2598493,159,27.66,482690,27.34
305,2627787,281,48.9,488010,27.34
306,2628735,512,144.44,488199,27.34
307,2629210,359,69.86,488390,27.34
308,2656805,359,69.86,493369,27.34
309,2657323,504,143.61,493558,27.34
310,2667337,216,36.85,495433,27.34
311,2701204,504,143.61,501667,27.34
312,2710223,460,119.54,503349,27.34
313,2715777,384,80.08,504285,27.34
314,2742207,368,72.93,509299,27.34
315,2742226,353,67.64,509304,27.34
316,2750757,281,48.9,510783,27.34
317,2756368,462,120.87,511893,27.34
318,2765343,287,50.23,513578,27.34
319,2775353,476,129.76,515424,27.34
320,2776960,352,66.89,515616,27.34
321,2848262,135,24.92,528890,27.34
322,2850492,195,33.17,529262,27.34
323,2855516,332,61.17,530183,27.34
324,2865583,483,132.6,532033,27.34
325,2872449,408,90.57,533342,27.34
