Event,RunTime,ADC,SiPM,DownTime,Temp
1,11677,709,376.18,2411,22.72
2,14898,487,132.65,2974,23.05
3,28657,716,337.96,5583,22.83
4,35681,689,300.98,6890,22.72
5,45511,755,529.8,8758,23.15
6,99802,384,80.08,18833,23.05
7,102252,112,22.94,19389,23.15
8,104732,465,122.12,19758,23.15
9,104812,483,132.6,19763,23.15
10,107809,480,130.21,20328,22.94
11,108989,691,332.16,20519,23.15
12,118202,595,212.63,22395,23.26
13,159833,476,129.76,30080,23.05
14,173901,441,109.77,32692,23.05
15,175863,304,53.73,33067,23.15
16,177688,504,143.61,33440,23.48
17,197382,499,141.24,37173,23.15
18,205952,536,160.18,38672,23.37
19,220872,540,166.11,41491,23.37
20,221310,449,112.05,41683,23.37
21,225713,473,126.29,42430,23.15
22,238375,600,203.87,44850,23.26
23,242740,537,162.17,45604,23.15
24,245347,462,120.87,46171,23.15
25,247918,657,260.46,46550,23.15
26,251411,496,144.49,47305,23.26
27,255742,199,33.86,48055,23.48
28,261876,489,138.11,49160,23.15
29,284311,504,143.61,53453,23.15
30,292707,473,126.29,54949,23.37
31,301365,668,291.28,56632,23.48
32,308341,482,129.6,57949,23.58
33,321824,423,97.36,60371,23.37
34,325790,496,144.49,61118,23.8
35,333790,124,23.92,62616,24.01
36,342368,444,109.09,64271,23.48
37,349962,529,156.43,65576,23.48
38,353646,696,307.73,66328,23.37
39,369360,483,132.6,69331,23.8
40,372660,497,142.37,69895,23.15
41,398739,519,154.3,74745,23.58
42,400303,655,252.34,75123,23.8
43,402340,496,144.49,75503,23.8
44,414213,483,132.6,77748,23.37
45,415914,572,183.73,77941,23.8
46,420245,480,130.21,78882,23.8
47,423679,655,252.34,79447,23.48
48,427737,483,132.6,80205,23.58
49,437462,487,132.65,82075,23.69
50,444474,478,129.43,83386,23.37
51,449936,492,134.92,84324,23.48
52,455928,504,143.61,85445,24.23
53,456479,591,188.65,85636,23.91
54,465375,510,148.47,87326,24.12
55,473189,384,80.08,88822,24.12
56,491494,487,132.65,92151,24.01
57,493363,483,132.6,92530,23.58
58,493833,408,90.57,92535,24.34
59,529470,519,154.3,99220,23.58
60,531893,384,80.08,99599,24.12
61,536402,519,154.3,100529,24.23
62,539270,88,20.96,101092,24.23
63,540858,496,144.49,101281,24.23
64,550294,608,202.86,103146,23.8
65,561970,494,141.37,105212,23.8
66,568818,633,241.23,106521,23.91
67,571270,472,125.87,107087,24.23
68,572926,305,53.88,107277,24.44
69,574300,472,125.87,107650,24.12
70,575978,697,299.81,107842,24.12
71,576353,481,129.57,108034,24.23
72,594221,487,132.65,111379,24.44
73,595974,423,97.36,111573,24.12
74,602889,743,466.23,112873,23.8
75,610960,487,132.65,114377,24.12
76,651554,492,134.92,122028,24.44
77,660394,700,294.28,123712,24.12
78,684321,704,326.52,128196,24.34
79,690838,679,318.29,129325,24.12
80,695869,483,132.6,130265,24.34
81,704919,527,155.96,131947,24.23
82,728232,480,130.21,136420,24.23
83,729627,671,277.06,136612,24.44
84,735875,537,162.17,137743,24.44
85,748330,387,81.05,140182,24.44
86,764279,536,160.18,143138,24.44
87,766438,199,33.86,143519,24.44
88,769478,476,129.76,144074,24.34
89,772951,81,20.25,144639,24.34
90,775517,455,117.03,145193,24.34
91,784332,543,164.77,146866,24.23
92,803256,480,130.21,150424,24.44
93,832434,355,68.3,155835,24.34
94,834490,487,132.65,156208,24.34
95,843446,491,137.65,157891,24.44
96,851342,568,189.84,159387,24.44
97,853423,487,132.65,159765,24.44
98,873249,455,117.03,163496,24.44
99,875395,551,164.56,163872,24.44
100,876264,483,132.6,164065,24.44
101,877633,489,138.11,164256,24.34
102,890531,524,150.73,166685,24.44
103,893982,56,16.76,167254,24.44
104,901553,647,246.69,168726,24.44
105,914637,480,130.21,171166,24.44
106,918515,483,132.6,171917,24.44
107,920710,472,125.87,172295,24.44
108,923452,654,259.18,172860,24.44
109,928192,568,189.84,173802,24.44
110,937222,467,121.56,175494,24.44
111,939441,399,87.3,175871,24.44
112,945212,472,125.87,176989,24.44
113,958989,556,174.47,179420,24.44
114,966283,591,188.65,180922,24.44
115,978647,472,125.87,183179,24.44
116,979206,707,320.63,183370,24.44
117,980505,487,132.65,183563,24.44
118,984938,664,270.86,184315,24.44
119,993423,483,132.6,186008,24.44
120,996654,521,150.31,186571,24.44
121,997719,536,160.18,186764,24.44
122,1003256,551,164.56,187892,24.44
123,1026307,524,150.73,192208,24.34
124,1029227,487,132.65,192775,24.44
125,1033699,512,144.44,193525,24.44
126,1039258,472,125.87,194646,24.44
127,1049428,480,130.21,196513,24.44
128,1050738,476,129.76,196705,24.44
129,1051194,480,130.21,196897,24.44
130,1116658,519,154.3,209007,24.77
131,1121390,489,138.11,209948,24.44
132,1126628,510,148.47,210885,24.44
133,1142493,476,129.76,213875,24.44
134,1146390,480,130.21,214624,24.44
135,1156623,524,150.73,216494,24.44
136,1157759,481,129.57,216687,24.44
137,1168628,473,126.29,218744,24.44
138,1210520,556,174.47,226576,24.44
139,1211216,473,126.29,226768,24.44
140,1216522,527,155.96,227707,24.44
141,1219412,526,158.17,228273,24.44
142,1219755,707,320.63,228278,24.44
143,1253518,499,141.24,234652,24.66
144,1282794,483,132.6,240068,24.44
145,1290550,524,150.73,241565,24.44
146,1328496,485,135.76,248677,24.44
147,1340215,560,175.34,250915,24.44
148,1343817,568,189.84,251484,24.98
149,1349277,472,125.87,252612,24.44
150,1352869,496,144.49,253176,24.44
151,1353737,527,155.96,253367,24.44
152,1361459,483,132.6,254868,24.77
153,1381561,480,130.21,258602,24.44
154,1385635,527,155.96,259354,24.44
155,1412795,684,283.21,264419,24.44
156,1420459,415,95,265924,24.44
157,1434925,192,32.67,268524,24.98
158,1438826,527,155.96,269262,24.44
159,1445740,508,144.95,270579,24.44
160,1447669,364,71.71,270958,24.44
161,1449213,481,129.57,271331,24.44
162,1449422,472,125.87,271337,24.44
163,1457885,231,39.55,272836,24.44
164,1459330,476,129.76,273208,24.44
165,1469500,480,130.21,275080,24.77
166,1470919,492,134.92,275271,24.44
167,1481826,515,147.53,277327,24.44
168,1498371,689,300.98,280500,24.44
169,1509409,492,134.92,282563,25.41
170,1516893,472,125.87,283874,24.44
171,1517268,543,164.77,284065,24.44
172,1520610,621,221.29,284631,24.44
173,1530446,497,142.37,286510,24.44
174,1541834,476,129.76,288565,24.98
175,1545822,512,144.44,289315,24.44
176,1549306,480,130.21,290066,24.87
177,1550365,473,126.29,290257,24.44
178,1562390,527,155.96,292502,24.44
179,1574682,508,144.95,294752,24.44
180,1581443,419,97.2,296062,24.44
181,1585544,689,300.98,296809,24.44
182,1586924,563,181.65,297002,24.44
183,1588794,647,246.69,297381,24.44
184,1590639,508,144.95,297761,24.77
185,1593393,480,130.21,298324,24.44
186,1615727,519,154.3,302430,24.44
187,1621581,472,125.87,303559,24.44
188,1629237,480,130.21,305056,24.66
