Event,RunTime,ADC,SiPM,DownTime,Temp
1,406,185,31.51,727,24.44
2,617,371,73.82,731,24.44
3,684,575,187.3,735,24.44
4,912,339,62.98,739,24.44
5,1252,560,175.34,926,24.44
6,1519,472,125.87,930,24.44
7,1713,152,26.78,934,24.44
8,1809,327,59.28,938,24.44
9,1972,332,61.17,942,24.44
10,2765,103,22.23,1130,24.44
11,3547,74,19.44,1317,24.44
12,3847,140,25.42,1321,24.44
13,5290,504,143.61,1692,24.44
14,5334,300,52.79,1697,24.44
15,5353,83,20.46,1701,24.44
16,6210,271,46.93,1888,24.44
17,6337,440,109.25,1893,24.44
18,6510,295,51.75,1897,24.44
19,7389,97,21.75,2085,24.44
20,8330,387,81.05,2272,24.44
21,8750,399,87.3,2276,24.44
22,9535,114,23.1,2464,24.44
23,9948,67,18.51,2468,24.44
24,10274,281,48.9,2656,24.44
25,10730,248,42.69,2661,24.44
26,10976,318,57.28,2666,24.44
27,12619,414,93.93,3038,24.44
28,13236,92,21.32,3227,24.44
29,14558,595,212.63,3414,24.44
30,15207,339,62.98,3605,24.44
31,15219,652,262.1,3609,24.44
32,15232,240,41.21,3614,24.44
33,15341,94,21.5,3622,24.44
34,15845,225,38.48,3626,24.44
35,16536,121,23.66,3813,24.44
36,16931,518,151.06,3818,24.44
37,17195,71,19.06,4009,24.44
38,17376,319,57.64,4014,24.44
39,17530,76,19.69,4018,24.44
40,17784,152,26.78,4022,24.44
41,18576,455,117.03,4209,24.44
42,18723,56,16.76,4214,24.44
43,18783,177,30.25,4219,24.44
44,19197,67,18.51,4406,24.44
45,19258,79,20.03,4411,24.44
46,19353,179,30.55,4415,24.44
47,19364,275,47.73,4419,24.44
48,19578,61,17.6,4424,24.44
49,19743,415,95,4429,24.44
50,19833,255,43.96,4433,24.44
51,20221,120,23.58,4620,24.44
52,20302,124,23.92,4625,24.44
53,20365,199,33.86,4630,24.44
54,20966,511,149.39,4634,24.44
55,21597,463,119.23,4824,24.44
56,21999,736,412.77,4829,24.44
57,22401,188,32.01,5018,24.44
58,22728,498,140.86,5022,24.44
59,23612,414,93.93,5213,24.44
60,23779,335,61.77,5217,24.44
61,23952,83,20.46,5221,24.44
62,24313,124,23.92,5408,24.44
63,25433,540,166.11,5596,24.44
64,26895,216,36.85,5788,24.44
65,27837,127,24.18,5975,24.44
66,28586,103,22.23,6163,24.44
67,29476,412,92.93,6350,24.44
68,29548,159,27.66,6354,24.44
69,29633,531,160.62,6358,24.44
70,29814,422,97.97,6363,24.44
71,30353,99,21.91,6552,24.44
72,30400,632,232.56,6556,24.44
73,30858,79,20.03,6560,24.44
74,31266,156,27.28,6747,24.44
75,31374,255,43.96,6751,24.44
76,31663,255,43.96,6755,24.44
77,31701,483,132.6,6759,24.44
78,31790,547,162.22,6764,24.44
79,31803,177,30.25,6769,24.44
80,32470,48,15.29,6956,24.44
81,33402,179,30.55,7143,24.44
82,33422,743,466.23,7147,24.44
83,33433,560,175.34,7151,24.44
84,34344,57,16.93,7343,24.44
85,34862,199,33.86,7348,24.44
86,34954,56,16.76,7352,24.44
87,35194,323,58.48,7539,24.44
88,35219,254,43.77,7543,24.44
89,36324,508,144.95,7732,24.44
90,36785,99,21.91,7737,24.44
91,36917,96,21.67,7741,24.44
92,37225,480,130.21,7928,24.44
93,37502,290,50.82,7933,24.44
94,37937,263,45.37,7938,24.44
95,38866,60,17.43,8126,24.44
96,39678,99,21.91,8314,24.44
97,39968,432,101.61,8318,24.44
98,40740,255,43.96,8507,24.44
99,41872,476,129.76,8694,24.44
100,41935,254,43.77,8699,24.44
101,42632,96,21.67,8888,24.44
102,43443,291,50.97,9075,24.44
103,43898,195,33.17,9080,24.44
104,44246,135,24.92,9268,24.44
105,44538,560,175.34,9273,24.44
106,44812,79,20.03,9278,24.44
107,44921,134,24.82,9282,24.44
108,44942,103,22.23,9287,24.44
109,45693,195,33.17,9474,24.44
110,45799,248,42.69,9478,24.44
111,46272,51,15.86,9667,24.44
112,46508,153,26.9,9671,24.44
113,47646,531,160.62,9859,24.44
114,48380,79,20.03,10051,24.44
115,48699,99,21.91,10055,24.44
116,48941,142,25.64,10059,24.44
117,49259,497,142.37,10247,24.44
118,49549,124,23.92,10252,24.44
119,50755,206,35.07,10440,24.44
120,50929,217,37.04,10444,24.44
121,52489,92,21.32,10816,24.44
122,52580,88,20.96,10820,24.44
123,52730,243,41.74,10824,24.44
124,53310,318,57.28,11013,24.44
125,53639,300,52.79,11017,24.44
126,54267,56,16.76,11206,24.44
127,54295,184,31.36,11211,24.44
128,54347,83,20.46,11216,24.44
129,54812,377,76.28,11221,24.44
130,55233,103,22.23,11410,24.44
131,55298,487,132.65,11414,24.44
132,55428,113,23.02,11419,24.44
133,55448,67,18.51,11424,24.44
134,56331,81,20.25,11612,24.44
135,56617,135,24.92,11617,24.44
136,57472,684,283.21,11805,24.44
137,57570,156,27.28,11810,24.44
138,57722,499,141.24,11815,24.44
139,57737,536,160.18,11820,24.44
140,58270,220,37.58,12012,24.44
141,58797,334,61.44,12016,24.44
142,58850,63,17.91,12021,24.44
143,59256,504,143.61,12209,24.44
144,59340,127,24.18,12214,24.44
145,59430,156,27.28,12219,24.44
146,59979,135,24.92,12224,24.44
147,60564,114,23.1,12412,24.44
148,60643,608,202.86,12417,24.44
149,61548,114,23.1,12609,24.44
150,61764,306,54.23,12614,24.44
151,62299,558,172.78,12803,24.44
152,62558,135,24.92,12808,24.44
153,62792,83,20.46,12813,24.44
154,63781,110,22.78,13001,24.44
155,63970,56,16.76,13005,24.44
156,64859,579,187.32,13193,24.44
157,64990,440,109.25,13198,24.44
158,65310,409,91.12,13389,24.44
159,65960,71,19.06,13393,24.44
160,66423,335,61.77,13581,24.44
161,66551,391,82.35,13586,24.44
162,67643,73,19.32,13775,24.44
163,67814,415,95,13780,24.44
164,68237,133,24.73,13969,24.44
165,68263,519,154.3,13974,24.44
166,68478,192,32.67,13979,24.44
167,68755,79,20.03,13984,24.44
168,68962,376,76.43,13988,24.44
169,69673,135,24.92,14177,24.44
170,69877,216,36.85,14182,24.44
171,70442,96,21.67,14369,24.44
172,70959,88,20.96,14374,24.44
173,72404,409,91.12,14744,24.44
174,72669,115,23.18,14748,24.44
175,72875,371,73.82,14753,24.44
176,72944,508,144.95,14757,24.44
177,73222,273,47.25,14948,24.44
178,73597,156,27.28,14953,24.44
179,73696,94,21.5,14958,24.44
180,73834,103,22.23,14962,24.44
181,73949,254,43.77,14966,24.44
182,74353,56,16.76,15155,24.44
183,74518,560,175.34,15160,24.44
184,75317,57,16.93,15352,24.44
185,76879,625,226.08,15540,24.44
186,76957,398,85.63,15545,24.44
187,77678,255,43.96,15735,24.44
188,78566,71,19.06,15923,24.44
189,78624,508,144.95,15928,24.44
190,78680,76,19.69,15933,24.44
191,78847,419,97.2,15937,24.44
192,78894,89,21.05,15941,24.44
193,78980,88,20.96,15945,24.44
194,79410,888,819.07,16132,24.44
195,79455,480,130.21,16136,24.44
196,79672,127,24.18,16141,24.44
197,81593,412,92.93,16512,24.44
198,81657,332,61.17,16516,24.44
199,81714,204,34.73,16521,24.44
200,81721,195,33.17,16526,24.44
201,82202,62,17.75,16715,24.44
202,82320,49,15.48,16720,24.44
203,82335,414,93.93,16724,24.44
204,83306,103,22.23,16914,24.44
205,83526,124,23.92,16918,24.44
206,83852,79,20.03,16923,24.44
207,84957,71,19.06,17110,24.44
208,85319,76,19.69,17298,24.44
209,85919,414,93.93,17302,24.44
210,87754,423,97.36,17676,24.44
211,88560,135,24.92,17865,24.44
212,88845,428,101.58,17870,24.44
213,88860,480,130.21,17874,24.44
214,88916,370,73.62,17879,24.44
215,88957,89,21.05,17884,24.44
216,89276,96,21.67,18071,24.44
217,90415,221,37.76,18259,24.44
218,90793,316,56.81,18263,24.44
219,91252,633,241.23,18451,24.44
220,91267,259,44.69,18455,24.44
221,91551,338,62.67,18460,24.44
222,91619,625,226.08,18465,24.44
223,91911,238,40.82,18470,24.44
224,92215,505,145.23,18659,24.44
225,92231,275,47.73,18664,24.44
226,92510,92,21.32,18669,24.44
227,92591,263,45.37,18673,24.44
228,92845,319,57.64,18678,24.44
229,93692,403,88.99,18866,24.44
230,93971,63,17.91,18870,24.44
231,94926,568,189.84,19058,24.44
232,95193,280,48.67,19250,24.44
233,95236,355,68.3,19255,24.44
234,95926,224,38.29,19259,24.44
235,95943,70,18.93,19264,24.44
236,96284,79,20.03,19452,24.44
237,96902,163,28.2,19456,24.44
238,97512,799,620.61,19644,24.44
239,97622,496,144.49,19649,24.44
240,97650,60,17.43,19654,24.44
