Event,RunTime,ADC,SiPM,DownTime,Temp
1,583,92,21.32,727,25.2
2,1248,302,53.3,913,24.98
3,2585,217,37.04,1100,24.77
4,3324,240,41.21,1287,24.87
5,6407,89,21.05,1841,25.52
6,6603,230,39.39,1845,25.3
7,7583,421,97.33,2032,26.05
8,9495,120,23.58,2404,24.87
9,10412,57,16.93,2591,24.98
10,10704,159,27.66,2595,24.98
11,11187,184,31.36,2782,24.77
12,11785,344,64.67,2786,24.98
13,11961,152,26.78,2790,25.52
14,12725,135,24.92,2977,25.95
15,13367,96,21.67,3165,25.84
16,14351,536,160.18,3352,24.77
17,15693,255,43.96,3544,25.63
18,16639,112,22.94,3731,25.52
19,16683,313,56.02,3736,25.09
20,17481,255,43.96,3923,25.52
21,18350,568,189.84,4110,24.44
22,18781,225,38.48,4115,25.2
23,19625,423,97.36,4302,25.3
24,19803,368,72.93,4306,24.77
25,19830,71,19.06,4310,25.41
26,19855,184,31.36,4315,25.3
27,20491,112,22.94,4502,25.95
28,22314,295,51.75,4873,24.98
29,22840,511,149.39,4878,24.77
30,23330,387,81.05,5068,24.98
31,25703,115,23.18,5441,24.44
32,26279,359,69.86,5629,25.09
33,27367,304,53.73,5817,25.63
34,27666,51,15.86,5821,24.66
35,27695,88,20.96,5825,25.2
36,30929,444,109.09,6378,24.44
37,31861,271,46.93,6567,24.77
38,31916,210,35.78,6572,24.87
39,32709,82,20.36,6759,25.52
40,33945,127,24.18,6946,24.66
41,34413,302,53.3,7134,24.98
42,35405,226,38.63,7322,25.84
43,37286,140,25.42,7693,25.2
44,37751,302,53.3,7698,24.98
45,38241,497,142.37,7886,24.44
46,41749,295,51.75,8449,24.77
47,44241,302,53.3,9006,24.77
48,45414,271,46.93,9194,25.3
49,46249,344,64.67,9382,24.98
50,46827,108,22.63,9386,24.98
51,48826,97,21.75,9756,24.98
52,50256,361,70.62,10126,25.41
53,50571,243,41.74,10130,25.3
54,51927,316,56.81,10318,25.52
55,52832,213,36.33,10506,25.63
56,53930,135,24.92,10693,25.09
57,54872,370,73.62,10881,24.98
58,56438,366,72.41,11253,25.2
59,58668,590,200.72,11625,25.3
60,60557,344,64.67,12004,25.52
61,60696,71,19.06,12008,25.52
62,60945,339,62.98,12013,24.77
63,61502,248,42.69,12201,25.73
64,62588,123,23.83,12389,25.41
65,65446,112,22.94,12943,25.95
66,66511,73,19.32,13131,24.77
67,67208,435,104.92,13318,24.66
68,67510,341,63.69,13322,25.3
69,68364,472,125.87,13510,25.2
70,68498,82,20.36,13515,24.66
71,68549,66,18.36,13519,24.87
72,68562,67,18.51,13524,25.41
73,69326,109,22.7,13711,25.52
74,69814,101,22.08,13715,25.41
75,69885,396,85.28,13719,25.3
76,70587,156,27.28,13907,25.2
77,72431,218,37.23,14275,25.84
78,73927,57,16.93,14462,24.44
