Event,RunTime,ADC,SiPM,DownTime,Temp
1,3973,387,81.05,928,27.34
2,32506,345,64.98,6276,27.34
3,61538,432,101.61,11621,27.34
4,64372,188,32.01,12180,27.34
5,76314,492,134.92,14382,27.34
6,81550,632,232.56,15315,27.34
7,82895,455,117.03,15506,27.34
8,100345,263,45.37,18847,27.34
9,111293,444,109.09,20867,27.34
10,113319,463,119.23,21241,27.34
11,126585,318,57.28,23656,27.34
12,134462,48,15.29,25130,27.34
13,150560,127,24.18,28057,27.34
14,150629,419,97.2,28062,27.34
15,152937,384,80.08,28436,27.34
16,153428,350,66.46,28625,27.34
17,156316,399,87.3,29181,27.34
18,187926,403,88.99,34897,27.34
19,190275,391,82.35,35456,27.34
20,196536,300,52.79,36564,27.34
21,206296,451,113.08,38409,27.34
22,212222,572,183.73,39525,27.34
23,219932,463,119.23,40840,27.34
24,234977,403,88.99,43625,27.34
25,263218,543,164.77,48977,27.34
26,265549,486,135.98,49357,27.34
27,280957,688,328.69,52154,27.34
28,292240,115,23.18,54408,27.34
29,293254,451,113.08,54596,27.34
30,302218,332,61.17,56267,27.34
31,323433,433,104.37,60141,27.34
32,348286,391,82.35,64777,27.34
33,351614,112,22.94,65336,27.34
34,372908,385,80.11,69191,27.34
35,375432,415,95,69747,27.34
36,384684,583,201.26,71420,27.34
37,400659,408,90.57,74418,27.34
38,401241,755,529.8,74608,27.34
39,412681,323,58.48,76672,27.34
40,419192,398,85.63,77966,27.34
41,428237,547,162.22,79630,27.34
42,437905,639,249.88,81313,27.34
43,444930,423,97.36,82625,27.34
44,463276,332,61.17,86146,27.34
45,492547,551,164.56,91494,27.34
46,513239,497,142.37,95428,27.34
47,520630,543,164.77,96738,27.34
48,527540,339,62.98,98052,27.34
49,534676,482,129.6,99345,27.34
50,557253,227,38.83,103628,27.34
51,564306,499,141.24,104917,27.34
52,569540,377,76.28,105853,27.34
53,569578,415,95,105858,27.34
54,575293,639,249.88,106974,27.34
55,579349,57,16.93,107729,27.34
56,579472,399,87.3,107734,27.34
57,580217,352,66.89,107923,27.34
58,580496,492,134.92,107929,27.34
59,595422,492,134.92,110729,27.34
60,605306,359,69.86,112597,27.34
61,619596,398,85.63,115181,27.34
62,621727,384,80.08,115556,27.34
63,638633,376,76.43,118694,27.34
64,660240,425,99.48,122752,27.34
65,669596,348,65.64,124420,27.34
66,677632,403,88.99,125897,27.34
67,678671,524,150.73,126086,27.34
68,681719,385,80.11,126649,27.34
69,685531,67,18.51,127390,27.34
70,687303,335,61.77,127761,27.34
71,688253,492,134.92,127950,27.34
72,689460,319,57.64,128141,27.34
73,691361,444,109.09,128512,27.34
74,692745,345,64.98,128701,27.34
75,720301,399,87.3,133867,27.34
76,727478,359,69.86,135166,27.34
77,747423,415,95,138855,27.34
78,751374,433,104.37,139599,27.34
79,753245,428,101.58,139974,27.34
80,757637,243,41.74,140718,27.34
81,759982,422,97.97,141091,27.34
82,808292,179,30.55,150172,27.34
83,809466,385,80.11,150360,27.34
84,818352,305,53.88,152027,27.34
85,822984,384,80.08,152768,27.34
86,828336,398,85.63,153879,27.34
87,833333,403,88.99,154804,27.34
88,842633,361,70.62,156468,27.34
89,852998,613,215.02,158314,27.34
90,857592,350,66.46,159256,27.34
91,876256,335,61.77,162763,27.34
92,882213,419,97.2,163874,27.34
93,902672,255,43.96,167585,27.34
94,904360,370,73.62,167956,27.34
95,915593,396,85.28,169990,27.34
96,916226,391,82.35,170179,27.34
97,917204,359,69.86,170368,27.34
98,917600,359,69.86,170373,27.34
99,922461,364,71.71,171298,27.34
100,925317,377,76.28,171855,27.34
101,930661,385,80.11,172782,27.34
102,960435,399,87.3,178341,27.34
103,966424,435,104.92,179460,27.34
104,975685,419,97.2,181131,27.34
105,977424,622,244.71,181506,27.34
106,982499,368,72.93,182448,27.34
107,1003776,295,51.75,186321,27.34
108,1014614,355,68.3,188351,27.34
109,1017422,339,62.98,188908,27.34
110,1027735,440,109.25,190754,27.34
111,1031640,344,64.67,191502,27.34
112,1033795,433,104.37,191875,27.34
113,1046309,700,294.28,194287,27.34
114,1047561,435,104.92,194479,27.34
115,1053490,408,90.57,195598,27.34
116,1074410,448,112.41,199494,27.34
117,1078685,391,82.35,200240,27.34
118,1097590,376,76.43,203758,27.34
119,1128663,391,82.35,209477,27.34
120,1137288,115,23.18,211153,27.34
121,1140410,441,109.77,211707,27.34
122,1144464,152,26.78,212453,27.34
123,1145458,403,88.99,212641,27.34
124,1164354,338,62.67,216163,27.34
125,1170772,513,148.53,217272,27.34
126,1177803,366,72.41,218581,27.34
127,1184698,334,61.44,219877,27.34
128,1188709,312,55.68,220619,27.34
129,1197283,353,67.64,222282,27.34
130,1199477,536,160.18,222655,27.34
131,1205676,415,95,223782,27.34
132,1206507,355,68.3,223973,27.34
133,1226529,377,76.28,227664,27.34
134,1232655,353,67.64,228777,27.34
135,1235774,348,65.64,229335,27.34
136,1243292,408,90.57,230813,27.34
137,1246406,396,85.28,231373,27.34
138,1251245,92,21.32,232305,27.34
139,1264719,448,112.41,234691,27.34
140,1271312,364,71.71,235996,27.34
141,1276779,480,130.21,236921,27.34
142,1284644,368,72.93,238416,27.34
143,1297662,419,97.2,240820,27.34
144,1310366,361,70.62,243232,27.34
145,1314848,542,168.67,243974,27.34
146,1344812,415,95,249600,27.34
147,1350805,376,76.43,250716,27.34
148,1356659,361,70.62,251827,27.34
149,1358658,399,87.3,252201,27.34
150,1373345,569,185.56,254983,27.34
151,1376460,719,344.94,255549,27.34
152,1381369,472,125.87,256490,27.34
153,1385411,561,174.17,257240,27.34
154,1391275,647,246.69,258369,27.34
155,1396711,263,45.37,259309,27.34
156,1397830,472,125.87,259498,27.34
157,1409529,409,91.12,261735,27.34
158,1414726,472,125.87,262665,27.34
159,1421634,316,56.81,263974,27.34
160,1424543,462,120.87,264532,27.34
161,1432506,499,141.24,266025,27.34
162,1447611,192,32.67,268824,27.34
163,1454445,377,76.28,270111,27.34
164,1460327,291,50.97,271223,27.34
165,1467378,366,72.41,272518,27.34
166,1467525,668,291.28,272523,27.34
167,1477405,184,31.36,274403,27.34
168,1478311,370,73.62,274592,27.34
169,1481876,335,61.77,275151,27.34
170,1493411,408,90.57,277366,27.34
171,1495557,449,112.05,277742,27.34
172,1503865,384,80.08,279232,27.34
173,1522467,536,160.18,282756,27.34
174,1528345,419,97.2,283886,27.34
175,1542311,497,142.37,286484,27.34
176,1548473,422,97.97,287605,27.34
177,1548480,71,19.06,287610,27.34
178,1570393,489,138.11,291645,27.34
179,1579556,271,46.93,293325,27.34
180,1604516,312,55.68,297937,27.34
181,1609677,519,154.3,298866,27.34
182,1627539,396,85.28,302245,27.34
183,1635564,332,61.17,303731,27.34
184,1643506,450,114.31,305208,27.34
185,1646773,376,76.43,305770,27.34
186,1648796,359,69.86,306144,27.34
187,1664280,467,121.56,309100,27.34
188,1664706,398,85.63,309105,27.34
189,1665515,432,101.61,309295,27.34
190,1670711,390,82.7,310227,27.34
191,1694570,440,109.25,314675,27.34
192,1695215,368,72.93,314866,27.34
193,1706631,408,90.57,316902,27.34
194,1710815,355,68.3,317647,27.34
195,1714353,176,30.09,318388,27.34
196,1719850,327,59.28,319312,27.34
197,1723738,345,64.98,320056,27.34
198,1742806,422,97.97,323567,27.34
199,1748252,261,45.09,324684,27.34
200,1750733,743,466.23,325058,27.34
201,1763333,515,147.53,327497,27.34
202,1764724,376,76.43,327689,27.34
203,1765773,391,82.35,327878,27.34
204,1774780,393,83.55,329551,27.34
205,1793778,636,231.85,333076,27.34
206,1795194,391,82.35,333455,27.34
207,1798588,344,64.67,334018,27.34
208,1821379,499,141.24,338259,27.34
209,1823928,428,101.58,338639,27.34
210,1824510,399,87.3,338829,27.34
211,1832624,711,380.66,340314,27.34
212,1879367,398,85.63,349116,27.34
213,1881476,527,155.96,349492,27.34
214,1882442,348,65.64,349684,27.34
215,1898334,540,166.11,352636,27.34
216,1902570,403,88.99,353389,27.34
217,1917752,486,135.98,356174,27.34
218,1923938,508,144.95,357300,27.34
219,1935755,364,71.71,359548,27.34
220,1946681,419,97.2,361589,27.34
221,1949557,480,130.21,362150,27.34
222,1951512,409,91.12,362528,27.34
223,1955619,318,57.28,363273,27.34
224,1956636,391,82.35,363462,27.34
225,1957895,664,270.86,363652,27.34
226,1957970,355,68.3,363657,27.34
227,1959461,546,165.41,364030,27.34
228,1960250,593,187.91,364222,27.34
229,1967660,369,73.42,365536,27.34
230,1985576,339,62.98,368876,27.34
231,1991215,206,35.07,369985,27.34
232,1991792,387,81.05,369990,27.34
233,1995470,499,141.24,370736,27.34
234,2012463,355,68.3,373913,27.34
235,2023241,390,82.7,375946,27.34
236,2027361,344,64.67,376691,27.34
237,2027638,398,85.63,376696,27.34
238,2034952,412,92.93,377999,27.34
239,2037962,387,81.05,378560,27.34
240,2046544,99,21.91,380231,27.34
241,2053720,440,109.25,381517,27.34
242,2054760,369,73.42,381708,27.34
243,2055973,384,80.08,381899,27.34
244,2058899,370,73.62,382460,27.34
245,2081365,131,24.54,386720,27.34
246,2102486,147,26.19,390576,27.34
247,2104353,428,101.58,390947,27.34
248,2107256,526,158.17,391510,27.34
249,2113543,325,59.05,392640,27.34
250,2114838,453,113.81,392829,27.34
251,2115700,380,78.12,393020,27.34
252,2135532,462,120.87,396728,27.34
253,2141451,380,78.12,397853,27.34
254,2142413,454,115.28,398044,27.34
255,2143887,348,65.64,398235,27.34
256,2146429,385,80.11,398793,27.34
257,2153947,359,69.86,400093,27.34
258,2167351,384,80.08,402678,27.34
259,2181990,127,24.18,405278,27.34
260,2183341,384,80.08,405651,27.34
261,2186872,499,141.24,406213,27.34
262,2187682,432,101.61,406405,27.34
263,2191519,133,24.73,407152,27.34
264,2202547,366,72.41,409172,27.34
265,2214590,359,69.86,411400,27.34
266,2238851,412,92.93,415829,27.34
267,2252988,369,73.42,418430,27.34
268,2253824,476,129.76,418621,27.34
269,2268751,480,130.21,421422,27.34
270,2300333,408,90.57,427387,27.34
271,2309643,259,44.69,429058,27.34
272,2311269,504,143.61,429431,27.34
273,2327431,531,160.62,432427,27.34
274,2334464,334,61.44,433743,27.34
275,2334991,384,80.08,433748,27.34
276,2378767,563,181.65,441906,27.34
277,2380969,99,21.91,442286,27.34
278,2382316,792,615.27,442657,27.34
279,2391297,600,203.87,444348,27.34
280,2397615,384,80.08,445475,27.34
281,2412685,593,187.91,448257,27.34
282,2427746,304,53.73,451074,27.34
283,2431994,207,35.26,451816,27.34
284,2437973,384,80.08,452926,27.34
285,2451925,492,134.92,455525,27.34
286,2458640,399,87.3,456833,27.34
287,2460534,449,112.05,457208,27.34
288,2461275,434,104.89,457399,27.34
289,2465823,393,83.55,458144,27.34
290,2478832,241,41.39,460557,27.34
291,2482840,352,66.89,461301,27.34
292,2489827,307,54.48,462595,27.34
293,2495647,422,97.97,463704,27.34
294,2498740,327,59.28,464265,27.34
295,2509469,856,997.78,466296,27.34
296,2519843,384,80.08,468175,27.34
297,2533386,472,125.87,470776,27.34
298,2533850,108,22.63,470781,27.34
299,2542385,492,134.92,472435,27.34
300,2542427,403,88.99,472440,27.34
301,2545874,348,65.64,473002,27.34
302,2547570,403,88.99,473378,27.34
303,2550956,707,320.63,473939,27.34
304,2556396,401,87.91,475068,27.34
305,2557546,312,55.68,475258,27.34
306,2560838,476,129.76,475818,27.34
307,2562323,305,53.88,476196,27.34
308,2576858,359,69.86,478780,27.34
309,2579989,434,104.89,479337,27.34
310,2580565,444,109.09,479526,27.34
311,2590321,312,55.68,481386,27.34
312,2595538,432,101.61,482314,27.34
313,2597413,344,64.67,482689,27.34
314,2603913,359,69.86,483800,27.34
315,2604617,357,68.97,483989,27.34
316,2608922,327,59.28,484730,27.34
317,2614738,199,33.86,485840,27.34
318,2619318,448,112.41,486762,27.34
319,2623699,472,125.87,487516,27.34
320,2631581,71,19.06,489011,27.34
321,2635797,433,104.37,489750,27.34
322,2639992,295,51.75,490495,27.34
323,2659757,359,69.86,494188,27.34
324,2661406,391,82.35,494561,27.34
325,2663605,505,145.23,494936,27.34
326,2665840,384,80.08,495316,27.34
327,2703563,583,201.26,502360,27.34
328,2709460,472,125.87,503489,27.34
329,2725967,444,109.09,506473,27.34
330,2744877,463,119.23,510003,27.34
331,2756620,377,76.28,512242,27.34
332,2759502,376,76.43,512801,27.34
333,2761586,462,120.87,513176,27.34
334,2773919,448,112.41,515416,27.34
335,2774809,319,57.64,515607,27.34
336,2775681,414,93.93,515796,27.34
337,2779605,549,171.58,516541,27.34
338,2783560,364,71.71,517295,27.34
339,2787495,236,40.44,518041,27.34
340,2794485,399,87.3,519338,27.34
341,2810957,435,104.92,522304,27.34
