Event,RunTime,ADC,SiPM,DownTime,Temp
1,13745,60,17.43,2780,24.44
2,14676,480,130.21,2968,24.44
3,18822,521,150.31,3714,24.44
4,19396,483,132.6,3905,24.44
5,21261,483,132.6,4280,24.44
6,21900,688,328.69,4285,24.44
7,25715,664,270.86,5036,24.44
8,26725,467,121.56,5227,24.44
9,30410,492,134.92,5972,24.44
10,43811,480,130.21,8395,24.44
11,44529,504,143.61,8586,24.44
12,64791,492,134.92,12322,24.44
13,73994,627,249.17,14007,24.44
14,77985,675,317.99,14760,24.44
15,80633,480,130.21,15325,24.44
16,82324,752,487.99,15703,24.44
17,83879,483,132.6,15895,24.44
18,95449,787,674.49,18137,24.44
19,99986,560,175.34,18895,24.44
20,100753,494,141.37,19087,24.77
21,114895,473,126.29,21700,24.44
22,123489,465,122.12,23380,24.44
23,149323,540,166.11,28228,24.44
24,161942,600,203.87,30481,24.44
25,169525,483,132.6,31984,24.44
26,180804,524,150.73,34038,24.44
27,185717,492,134.92,34975,24.44
28,190358,485,135.76,35911,24.44
29,194517,487,132.65,36663,24.44
30,195770,487,132.65,36855,24.66
31,201796,686,278.39,37979,24.44
32,203969,515,147.53,38358,24.44
33,209657,499,141.24,39480,24.44
34,220905,494,141.37,41536,24.44
35,222356,463,119.23,41913,24.44
36,223918,287,50.23,42104,24.66
37,236897,504,143.61,44507,24.44
38,242466,319,57.64,45629,24.44
39,246347,480,130.21,46371,24.44
40,250629,775,556.41,47122,24.44
41,270772,639,249.88,50879,24.44
42,278946,480,130.21,52385,24.66
43,284778,579,187.32,53509,24.44
44,286714,486,135.98,53889,24.44
45,307784,688,328.69,57809,24.44
46,310921,115,23.18,58375,24.44
47,326929,472,125.87,61318,24.66
48,329645,396,85.28,61881,24.66
49,332639,483,132.6,62439,24.44
50,333939,184,31.36,62630,24.44
51,341393,480,130.21,64108,24.44
52,346411,492,134.92,65043,24.44
53,350614,527,155.96,65793,24.44
54,375992,540,166.11,70462,24.87
55,380424,486,135.98,71403,24.77
56,400545,472,125.87,75136,24.44
57,407731,473,126.29,76444,24.98
58,437774,473,126.29,82029,24.44
59,446770,636,231.85,83707,24.77
60,476600,527,155.96,89332,24.98
61,498692,510,148.47,93449,24.44
62,500503,489,138.11,93826,24.44
63,500522,508,144.95,93831,24.98
64,519797,752,487.99,97374,24.44
65,523624,515,147.53,98128,24.44
66,530787,483,132.6,99437,24.44
67,531919,480,130.21,99628,24.98
68,537956,485,135.76,100751,24.98
69,550534,455,117.03,103178,24.98
70,550742,490,139.21,103183,24.87
71,554564,269,46.58,103935,24.98
72,559230,504,143.61,104857,24.44
73,565532,723,388.29,105979,24.44
74,578564,515,147.53,108420,24.77
75,580190,560,175.34,108798,24.44
76,586187,675,317.99,109926,24.98
77,586749,483,132.6,109931,24.44
78,586965,476,129.76,109936,25.3
79,588237,448,112.41,110312,24.44
80,588969,531,160.62,110317,24.44
81,589922,476,129.76,110509,24.98
82,602828,472,125.87,112939,24.44
83,606698,473,126.29,113687,24.44
84,607287,50,15.67,113879,24.87
85,619907,483,132.6,116078,24.66
86,620931,553,176.67,116269,24.98
87,628552,496,144.49,117776,24.44
88,655700,504,143.61,122811,24.98
89,664690,481,129.57,124497,24.44
90,669783,124,23.92,125430,24.98
91,671843,476,129.76,125802,24.66
92,697713,575,187.3,130624,24.44
93,722908,504,143.61,135310,25.09
94,728300,492,134.92,136432,24.44
95,736489,143,25.74,137928,24.98
96,755948,487,132.65,141414,24.44
97,764247,517,151.05,143094,25.73
98,764310,448,112.41,143099,25.41
99,770314,486,135.98,144220,25.2
100,772228,723,388.29,144599,25.3
101,781602,515,147.53,146288,25.52
102,789400,527,155.96,147791,24.87
103,792270,508,144.95,148359,25.95
104,798255,71,19.06,149485,24.87
105,798945,63,17.91,149490,24.66
106,809965,211,35.96,151514,25.84
107,815743,483,132.6,152619,24.98
108,818364,590,200.72,153182,24.98
109,836410,537,162.17,156557,25.73
110,843214,647,246.69,157874,24.98
111,844641,476,129.76,158067,25.2
112,892362,455,117.03,167019,25.95
113,903265,527,155.96,169065,25.52
114,907307,480,130.21,169818,24.98
115,908201,275,47.73,170009,25.52
116,920440,482,129.6,172218,25.09
117,923975,639,249.88,172782,24.87
118,926455,481,129.57,173350,24.44
119,928239,499,141.24,173728,24.44
120,938269,665,286.02,175599,25.2
121,945897,481,129.57,176913,25.3
122,975707,489,138.11,182507,25.84
123,995693,481,129.57,186239,25.63
124,1007358,537,162.17,188483,24.66
125,1019207,481,129.57,190736,25.41
126,1063457,463,119.23,198946,25.3
127,1064901,588,183.26,199136,25.2
128,1076753,389,81.58,201390,25.3
129,1081244,483,132.6,202321,25.52
130,1090760,467,121.56,204007,25.52
131,1097762,280,48.67,205320,25.63
